index,permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0
131,24010,21201,11,100,ETR,ENTERGY CORP NEW,ETR,221118,N,A,R,0,0,1,4911,14,486,1,0,5/31/1949,12/31/2024,5/31/1949,12/31/2024,5/31/1949,12/31/2024,13065596.32
140,24985,21808,11,100,AEE,AMEREN CORP,AEE,221118,N,A,R,0,0,1,4911,9,479,1,0,12/15/1952,12/31/2024,12/15/1952,12/31/2024,12/15/1952,12/31/2024,12709221.3
122,23229,20361,11,100,CMS,C M S ENERGY CORP,CMS,221118,N,A,R,0,0,1,4931,10,486,1,0,2/3/1947,12/31/2024,2/3/1947,12/31/2024,2/3/1947,12/31/2024,11624579.24
159,27991,21409,11,100,PNW,PINNACLE WEST CAPITAL CORP,PNW,221118,N,A,R,0,0,1,4911,9,467,1,0,8/28/1961,12/31/2024,8/28/1961,12/31/2024,8/28/1961,12/31/2024,8606179.92
132,24053,21035,11,100,EVRG,EVERGY INC,EVRG,221118,Q,A,R,60076721,79426,3,4931,14,468,1,21,7/22/1949,12/31/2024,7/22/1949,12/31/2024,7/22/1949,12/31/2024,7968373.2
328,76712,10996,11,100,AES,A E S CORP,AES,221118,N,A,R,60010903,14913,1,4911,5,370,1,68,6/26/1991,12/31/2024,6/26/1991,12/31/2024,6/26/1991,12/31/2024,7685992.16
185,38762,21244,11,100,NI,NISOURCE INC,NI,221118,N,A,R,0,0,1,4939,10,471,1,0,12/19/1962,12/31/2024,12/19/1962,12/31/2024,12/19/1962,12/31/2024,7161556.22
476,90071,37496,11,100,NRG,N R G ENERGY INC,NRG,221118,N,A,R,0,0,1,4911,5,256,1,0,3/25/2004,12/31/2024,3/25/2004,12/31/2024,3/25/2004,12/31/2024,3879948.9
254,58819,4980,11,100,LNT,ALLIANT ENERGY CORP,LNT,221122,Q,A,R,60019243,25844,3,4931,12,421,1,65,12/14/1972,12/31/2024,12/14/1972,12/31/2024,12/14/1972,12/31/2024,8629075
29,12558,53667,11,100,KMI,KINDER MORGAN INC,KMI,221210,N,A,R,0,0,1,4924,4,171,1,0,2/11/2011,12/31/2024,2/11/2011,12/31/2024,2/11/2011,12/31/2024,48241386.04
419,86136,34798,11,100,SRE,SEMPRA ENERGY,SRE,221210,N,A,R,0,0,1,4932,6,327,1,0,6/29/1998,12/31/2024,6/29/1998,12/31/2024,6/29/1998,12/31/2024,25288668.93
202,44206,21299,11,100,ES,EVERSOURCE ENERGY,ES,221210,N,A,R,60011462,0,1,4924,13,458,1,0,2/20/1967,12/31/2024,2/20/1967,12/31/2024,2/20/1967,12/31/2024,17471761.56
142,25232,21332,11,100,OKE,ONEOK INC NEW,OKE,221210,N,A,R,0,0,1,4924,10,476,1,0,5/24/1954,12/31/2024,5/24/1954,12/31/2024,5/24/1954,12/31/2024,12368167.5
111,21792,20939,11,100,CNP,CENTERPOINT ENERGY INC,CNP,221210,N,A,R,0,0,1,4924,17,497,1,0,8/16/1943,12/31/2024,8/16/1943,12/31/2024,8/16/1943,12/31/2024,10590470.38
171,32986,6748,11,100,ATO,ATMOS ENERGY CORP,ATO,221210,N,A,R,60006722,8613,1,4924,6,421,1,85,12/28/1983,12/31/2024,12/28/1983,12/31/2024,12/28/1983,12/31/2024,7834832.25
518,92614,52985,11,100,AWK,AMERICAN WATER WORKS CO INC,AWK,221310,N,A,R,0,0,1,4941,2,204,1,0,4/23/2008,12/31/2024,4/23/2008,12/31/2024,4/23/2008,12/31/2024,12860716.75
342,77661,11559,11,100,DHI,D R HORTON INC,DHI,236117,N,A,R,60011457,15672,1,1531,6,380,1,38,6/5/1992,12/31/2024,6/5/1992,12/31/2024,6/5/1992,12/31/2024,10286108.56
236,52708,21095,11,100,LEN,LENNAR CORP,LEN,236117,N,A,R,0,0,1,1531,10,449,1,0,6/23/1971,12/31/2024,6/23/1971,12/31/2024,6/23/1971,12/31/2024,8293381.347
357,79785,21242,11,100,NVR,N V R INC,NVR,236117,N,A,R,0,0,1,1531,5,381,1,0,11/18/1993,12/31/2024,11/18/1993,12/31/2024,11/18/1993,12/31/2024,6253462.062
241,54148,21349,11,100,PHM,PULTE GROUP INC,PHM,236117,N,A,R,0,0,1,1531,10,447,1,0,2/7/1972,12/31/2024,2/7/1972,12/31/2024,2/7/1972,12/31/2024,6135227
299,70092,21037,11,100,KBH,K B HOME,KBH,236117,N,A,R,0,0,1,1531,9,413,1,0,8/1/1986,12/31/2024,8/1/1986,12/31/2024,8/1/1986,12/31/2024,1375865.79
451,88853,41080,11,100,FLR,FLUOR CORP NEW,FLR,237990,N,A,R,0,0,1,1629,9,300,1,0,12/22/2000,12/31/2024,12/22/2000,12/31/2024,12/22/2000,12/31/2024,7384427.5
414,85792,34660,11,100,PWR,QUANTA SERVICES INC,PWR,238210,N,A,R,0,0,1,1731,4,329,1,0,2/12/1998,12/31/2024,2/12/1998,12/31/2024,2/12/1998,12/31/2024,5050639.16
